,datetime,instrument,score,exp_name,rid,weight,real_label,error,abs_error
36,2026-04-01,SH688472,-0.05638275295495987,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
37,2026-04-01,SH688396,-0.009924352169036865,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
38,2026-04-01,SH603893,0.060053203254938126,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
39,2026-04-01,SH603799,-0.019128037616610527,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
40,2026-04-01,SH603501,0.04319661483168602,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
41,2026-04-01,SH603392,0.014668344520032406,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
42,2026-04-01,SH603369,-0.008834585547447205,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
43,2026-04-01,SH603296,0.050026532262563705,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
44,2026-04-01,SH603288,-0.0535818487405777,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
45,2026-04-01,SH603260,0.0020659156143665314,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
46,2026-04-01,SH603259,0.026635799556970596,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
47,2026-04-01,SH603195,0.006050032563507557,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
48,2026-04-01,SH603019,-0.013721699826419353,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
49,2026-04-01,SH601998,0.07919882982969284,EXP_LinearModel_Alpha158_csi300_custom_step0_s_20260331_11,562efdd2392945b5b8b182931ccd4e08,0.058,,,
