,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH601825,0.0593762241248461,0.9375,0.0,0.0593762241248461,0.0593762241248461,SH601825,沪农商行,2026-04-16,0.14037555,0.1426793
1,1,SH601328,0.0473781761510534,0.875,0.013213515,0.034164660869376154,0.034164660869376154,SH601328,交通银行,2026-04-16,0.28095543,0.28474724
2,2,SH601006,0.041788628362525,0.8125,-0.0021613836,0.04395001199137021,0.04395001199137021,SH601006,大秦铁路,2026-04-16,1.2043189,1.2059925
3,3,SH601166,0.0401690794225907,0.75,-0.0021449327,0.04231401216947791,0.04231401216947791,SH601166,兴业银行,2026-04-16,1.2702574,1.2744735
4,4,SH601939,0.038974851985882,0.9375,0.03364563,0.005329222103069499,0.005329222103069499,SH601939,建设银行,2026-04-16,0.80332416,0.83347523
5,5,SH601169,0.0381164390952934,0.6875,0.0037451982,0.034371240845476506,0.034371240845476506,SH601169,北京银行,2026-04-16,0.25570378,0.25714743
6,6,SH600900,0.0373365667547593,0.75,0.01739657,0.019939997502745138,0.019939997502745138,SH600900,长江电力,2026-04-16,9.929376,10.1017065
7,7,SH600919,0.0358165044780877,0.8125,0.017108202,0.01870830249749688,0.01870830249749688,SH600919,江苏银行,2026-04-16,0.3718026,0.37834457
8,8,SH601398,0.0357911204706609,0.9375,0.017770648,0.01802047246803639,0.01802047246803639,SH601398,工商银行,2026-04-16,4.308273,4.3861156
9,9,SH600023,0.034253969125975,0.75,0.0181489,0.016105070047605863,0.016105070047605863,SH600023,浙能电力,2026-04-16,0.27950248,0.28508237
10,10,SH600741,0.0339229789044179,0.9375,-0.011747718,0.04567069676177874,0.04567069676177874,SH600741,华域汽车,2026-04-16,26.239485,26.200941
11,11,SH600660,0.0328735813616951,0.75,0.023303151,0.009570430231018834,0.009570430231018834,SH600660,福耀玻璃,2026-04-16,209.35172,217.11467
12,12,SH600918,0.0325371370512879,0.75,-0.004777074,0.037314210911456355,0.037314210911456355,SH600918,中泰证券,2026-04-16,0.16318186,0.16296493
13,13,SH600999,0.0315563014599722,0.75,-0.0049188733,0.03647517477006131,0.03647517477006131,SH600999,招商证券,2026-04-16,0.06730297,0.067540705
14,14,SH601668,0.0314672176707163,0.75,-0.011935174,0.043402392135895744,0.043402392135895744,SH601668,中国建筑,2026-04-16,0.6531948,0.6521504
15,15,SH601456,0.0313149664681648,0.75,0.003099084,0.028215882567713138,0.028215882567713138,SH601456,国联民生,2026-04-16,0.26814285,0.2695183
16,16,SH601988,0.0301687004375882,0.9375,0.022803426,0.007365274648708807,0.007365274648708807,SH601988,中国银行,2026-04-16,2.6822612,2.7534611
17,17,SH600000,0.028877440214238,0.8125,-0.008128107,0.03700554680832369,0.03700554680832369,SH600000,浦发银行,2026-04-16,4.1532445,4.1741834
18,18,SZ000001,0.0284661327933095,0.6875,0.004541993,0.023924139652135183,0.023924139652135183,,,2026-04-16,1.2703284,1.277253
19,19,SZ300014,0.0281839453280214,0.375,-0.012735903,0.040919848591113445,0.040919848591113445,,,2026-04-16,12.596025,12.596169
20,20,SH600036,0.027564297244148,0.625,0.00886023,0.018704066798286182,0.018704066798286182,SH600036,招商银行,2026-04-16,14.615945,14.7566
21,21,SZ000858,0.0263845672282557,0.6875,-0.0050063133,0.03139088055223031,0.03139088055223031,,,2026-04-16,19.497103,19.514353
22,22,SH600104,0.0254758032117812,0.75,-0.0014280677,0.026903870895954782,0.026903870895954782,SH600104,上汽集团,2026-04-16,8.612959,8.631673
23,23,SH601633,0.0242934063723595,0.6875,-0.0014579296,0.025751335983565556,0.025751335983565556,SH601633,长城汽车,2026-04-16,2.3273902,2.3542848
24,24,SH601766,0.024030524999365,0.6875,-0.009988964,0.034019488603338394,0.034019488603338394,SH601766,中国中车,2026-04-16,1.1090121,1.1102931
25,25,SZ000895,0.0237987223252187,0.8125,-0.002809465,0.026608187256706738,0.026608187256706738,,,2026-04-16,65.7869,66.22803
26,26,SH601916,0.0231298483873999,0.6875,-0.007177055,0.03030690326944946,0.03030690326944946,SH601916,浙商银行,2026-04-16,0.23422478,0.23396334
27,27,SH601658,0.0230041875452048,0.6875,0.021739244,0.00126494308414523,0.00126494308414523,SH601658,邮储银行,2026-04-16,0.2983764,0.30546424
28,28,SH600011,0.0229674115811631,0.75,-0.0043584704,0.02732588202107399,0.02732588202107399,SH600011,华能国际,2026-04-16,1.0437118,1.0541635
29,29,SH601298,0.0228311174359643,0.6875,-0.008389235,0.03122035197881098,0.03122035197881098,SH601298,青岛港,2026-04-16,0.3625055,0.3625364
30,30,SH601288,0.0225267832056868,0.8125,0.018951297,0.00357548639935135,0.00357548639935135,SH601288,农业银行,2026-04-16,4.8688865,4.984489
31,31,SH600519,0.0220887020168194,0.6875,0.002593875,0.01949482708548395,0.01949482708548395,SH600519,贵州茅台,2026-04-16,79.43388,79.812096
32,32,SH601059,0.0210219259270124,0.6875,-0.002927363,0.02394928884586616,0.02394928884586616,SH601059,信达证券,2026-04-16,0.12252586,0.12318853
33,33,SZ000166,0.0199802074053301,0.625,0.0,0.0199802074053301,0.0199802074053301,,,2026-04-16,0.030652095,0.030716762
34,34,SH600085,0.0198040861646356,0.6875,0.0,0.0198040861646356,0.0198040861646356,SH600085,同仁堂,2026-04-16,6.839813,6.854613
35,35,SH601818,0.0195695617410241,0.6875,0.0,0.0195695617410241,0.0195695617410241,SH601818,光大银行,2026-04-16,1.0194865,1.0226926
36,36,SH603259,0.0195340603756172,0.5625,0.003715992,0.015818068401740246,0.015818068401740246,SH603259,药明康德,2026-04-16,0.6656413,0.6709901
