,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ002916,0.0633586794658722,0.5333333333333333,0.063565135,-0.00020645553626402746,0.00020645553626402746,,,2026-04-10,1.9351355,2.1022868
1,1,SH600919,0.0622573253100537,0.8666666666666667,0.001106143,0.061151182312312,0.061151182312312,SH600919,江苏银行,2026-04-10,0.37084776,0.3733843
2,2,SH600219,0.0599797954415003,0.8666666666666667,0.035639763,0.02434003256308233,0.02434003256308233,SH600219,南山铝业,2026-04-10,3.2059946,3.3252203
3,3,SZ003816,0.0568944029805909,0.9333333333333332,-0.0057581663,0.06265256929376228,0.06265256929376228,,,2026-04-10,0.472228,0.47524464
4,4,SH600887,0.0544496892625294,0.8666666666666667,0.0011563301,0.05329335915388682,0.05329335915388682,SH600887,伊利股份,2026-04-10,74.32296,75.124695
5,5,SH600362,0.0537900213519213,0.9333333333333332,0.017552257,0.03623776476775382,0.03623776476775382,SH600362,江西铜业,2026-04-10,7.1489615,7.4360237
6,6,SZ000630,0.0526980266859052,0.8666666666666667,0.01765132,0.03504670718212102,0.03504670718212102,,,2026-04-10,23.226757,24.046722
7,7,SZ002074,0.052424267478225,0.8666666666666667,0.0106140375,0.04181022996449209,0.04181022996449209,,,2026-04-10,3.7629972,3.8095355
8,8,SZ002601,0.05207009809566,0.8666666666666667,0.01487112,0.037198977642779144,0.037198977642779144,,,2026-04-10,0.23084997,0.23534293
9,9,SH601998,0.0518295260970632,1.0,0.010701537,0.041127988964800015,0.041127988964800015,SH601998,中信银行,2026-04-10,0.2672066,0.27064145
10,10,SH601916,0.0517745651000965,0.8,0.009756088,0.042018476843260565,0.042018476843260565,SH601916,浙商银行,2026-04-10,0.22991283,0.23206878
11,11,SH600926,0.0517588458002952,0.8666666666666667,0.0057649612,0.04599388455761942,0.04599388455761942,SH600926,杭州银行,2026-04-10,0.27577218,0.27782813
12,12,SZ301236,0.05069483585231,0.8666666666666667,0.01595509,0.03473974532954389,0.03473974532954389,,,2026-04-10,0.055605147,0.0568921
13,13,SH601166,0.0487718732495138,0.8666666666666667,0.008104324,0.040667548908693486,0.040667548908693486,SH601166,兴业银行,2026-04-10,1.2717197,1.2819766
14,14,SH601169,0.047601171420101,0.8666666666666667,0.0071536303,0.04044754116344817,0.04044754116344817,SH601169,北京银行,2026-04-10,0.2544376,0.2571333
15,15,SH601919,0.0475000512064933,0.8666666666666667,0.0038759708,0.0436240803660392,0.0436240803660392,SH601919,中远海控,2026-04-10,0.32223925,0.32366946
16,16,SH601668,0.0472868690375881,0.8666666666666667,0.010273933,0.03701293562694357,0.03701293562694357,SH601668,中国建筑,2026-04-10,0.65027076,0.658346
17,17,SZ000002,0.045031530346659,0.7333333333333333,0.02813685,0.016894680943277653,0.016894680943277653,,,2026-04-10,16.795792,17.354345
18,18,SZ000001,0.044152209213445,0.8666666666666667,0.009034872,0.03511733715839129,0.03511733715839129,,,2026-04-10,1.277243,1.2887845
19,19,SH688111,0.043621562271053,0.8666666666666667,0.063266635,-0.019645072670048072,0.019645072670048072,SH688111,金山办公,2026-04-10,0.015084431,0.016843377
