,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600741,0.0581646028654945,0.9166666666666666,-0.027411819,0.08557642136982799,0.08557642136982799,SH600741,华域汽车,2026-04-27,25.301788,25.301756
1,1,SH601995,0.0427341378079995,0.9166666666666666,0.002829671,0.039904466901932605,0.039904466901932605,SH601995,中金公司,2026-04-27,0.025596263,0.025793292
2,2,SH601077,0.0405865677251322,1.0,-0.0037278533,0.04431442102331946,0.04431442102331946,SH601077,渝农商行,2026-04-27,0.17845136,0.18099189
3,3,SH601658,0.0349956958573147,0.9166666666666666,-0.00988692,0.04488261630943262,0.04488261630943262,SH601658,邮储银行,2026-04-27,0.30629325,0.30612528
4,4,SH600016,0.0347095388206477,0.6666666666666666,0.002629757,0.032079781893157466,0.032079781893157466,SH600016,民生银行,2026-04-27,14.584067,14.6216755
5,5,SZ000895,0.0340800638954167,0.75,-0.02402103,0.058101093367767774,0.058101093367767774,,,2026-04-27,67.40866,70.17249
6,6,SH601728,0.0321222722740396,0.9166666666666666,0.009655118,0.02246715428545317,0.02246715428545317,SH601728,中国电信,2026-04-27,0.23544659,0.23841769
7,7,SH600926,0.0318141567554167,1.0,-0.0017486215,0.03356277821919233,0.03356277821919233,SH600926,杭州银行,2026-04-27,0.2797083,0.28097662
8,8,SH600886,0.0310368441096625,0.8333333333333334,0.0007381439,0.03029870018876406,0.03029870018876406,SH600886,国投电力,2026-04-27,26.798866,26.87784
9,9,SZ000333,0.0310020920688824,1.0,0.010688543,0.020313548749180253,0.020313548749180253,,,2026-04-27,1.4344273,1.4609901
10,10,SH601328,0.0297011882506294,0.6666666666666666,-0.0047418475,0.0344430357657356,0.0344430357657356,SH601328,交通银行,2026-04-27,0.28193006,0.28208232
11,11,SH601398,0.0288602252636183,0.8333333333333334,-0.007978678,0.036838903013252086,0.036838903013252086,SH601398,工商银行,2026-04-27,4.3628774,4.3685784
