,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600919,0.0708932280582095,0.9375,-0.0065933466,0.07748657465397366,0.07748657465397366,SH600919,江苏银行,2026-04-01,0.37336913,0.37393528
1,1,SH601166,0.0635703772795889,0.9375,-0.011166573,0.07473694985038969,0.07473694985038969,SH601166,兴业银行,2026-04-01,1.3049206,1.306155
2,2,SH601169,0.063168349204796,0.9375,-0.011070192,0.07423854106499497,0.07423854106499497,SH601169,北京银行,2026-04-01,0.2595911,0.25997844
3,3,SZ000001,0.0631534800890819,0.875,-0.013311684,0.07646516422070422,0.07646516422070422,,,2026-04-01,1.300326,1.3014745
4,4,SH601328,0.0599217890643447,1.0,-0.014522791,0.07444457997315818,0.07444457997315818,SH601328,交通银行,2026-04-01,0.28639948,0.28656003
5,5,SH601658,0.0588045085392776,0.875,-0.011347532,0.07015204081161647,0.07015204081161647,SH601658,邮储银行,2026-04-01,0.30487567,0.30502096
6,6,SH600036,0.0572881745474982,0.9375,-0.009078264,0.06636643878394839,0.06636643878394839,SH600036,招商银行,2026-04-01,14.705177,14.726659
7,7,SH601816,0.057203669438768,1.0,-0.012681186,0.06988485563795624,0.06988485563795624,SH601816,京沪高铁,2026-04-01,0.13010079,0.13010766
8,8,SH601009,0.0553136719676844,0.9375,-0.012482822,0.06779649390906013,0.06779649390906013,SH601009,南京银行,2026-04-01,1.5845996,1.5857384
9,9,SH601838,0.0543406519833374,0.9375,-0.009361088,0.06370174025924683,0.06370174025924683,SH601838,成都银行,2026-04-01,0.34371898,0.34363353
10,10,SH601668,0.0542368708812627,0.875,-0.0058626533,0.06009952413672535,0.06009952413672535,SH601668,中国建筑,2026-04-01,0.66468257,0.66481847
11,11,SH601229,0.0533159067494582,1.0,-0.010179579,0.06349548600742329,0.06349548600742329,SH601229,上海银行,2026-04-01,0.21430197,0.21447055
12,12,SH600887,0.0527246100658232,0.9375,-0.0045387745,0.057263384556179645,0.057263384556179645,SH600887,伊利股份,2026-04-01,75.66888,75.669106
