,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600377,0.0564274198524509,1.0,-0.008705139,0.06513255901260714,0.06513255901260714,SH600377,宁沪高速,2026-05-26,3.034004,3.0579913
1,1,SH601066,0.0444385982143056,0.8,-0.026727796,0.07116639381519671,0.07116639381519671,SH601066,中信建投,2026-05-26,0.47509894,0.47292277
2,2,SH601988,0.038746760272096,0.8,-0.0072751045,0.046021864794801075,0.046021864794801075,SH601988,中国银行,2026-05-26,2.720629,2.7554047
3,3,SH600018,0.0348352424640811,0.7333333333333333,-0.0035210848,0.03835632724954253,0.03835632724954253,SH600018,上港集团,2026-05-26,1.0026982,1.0075812
4,4,SZ001965,0.0307829715435108,0.8,-0.011135936,0.04191890732689703,0.04191890732689703,,,2026-05-26,0.13712984,0.13760127
5,5,SH600674,0.0287884608483404,0.8,0.0013195276,0.027468933222302802,0.027468933222302802,SH600674,川投能源,2026-05-26,67.16027,68.67712
6,6,SH601901,0.0287479589255119,0.6666666666666666,-0.021304965,0.050052923944737975,0.050052923944737975,SH601901,方正证券,2026-05-26,0.25692466,0.2573567
7,7,SH600919,0.026849226912585,0.6,0.0,0.026849226912585,0.026849226912585,SH600919,江苏银行,2026-05-26,0.3825668,0.3880566
8,8,SH601939,0.0255256852287868,0.4,-0.012941182,0.03846686688848529,0.03846686688848529,SH601939,建设银行,2026-05-26,0.8723961,0.8779782
9,9,SH600886,0.0250336271789219,0.6,0.0021722317,0.022861395504727565,0.022861395504727565,SH600886,国投电力,2026-05-26,27.153423,27.724598
10,10,SH601995,0.0246258437486094,0.8666666666666667,-0.019384265,0.04401010869459329,0.04401010869459329,SH601995,中金公司,2026-05-26,0.025406035,0.025367826
11,11,SH601059,0.0232854189964999,0.7333333333333333,-0.013150394,0.036435812959360006,0.036435812959360006,SH601059,信达证券,2026-05-26,0.12550308,0.12554571
12,12,SH600999,0.0231909735254829,0.8,-0.03883487,0.06202584338708568,0.06202584338708568,SH600999,招商证券,2026-05-26,0.07623048,0.076308385
13,13,SH601838,0.0205406032511918,0.8,0.00268507,0.017855533213350004,0.017855533213350004,SH601838,成都银行,2026-05-26,0.3646512,0.36839476
14,14,SZ002241,0.0180152190312177,0.6,0.004596591,0.013418628035429127,0.013418628035429127,,,2026-05-26,16.785042,17.32528
15,15,SH600030,0.0173463040570953,0.8,-0.016254425,0.033600729105923426,0.033600729105923426,SH600030,中信证券,2026-05-26,45.22252,45.55997
16,16,SH601916,0.0152996568987981,0.5333333333333333,0.0,0.0152996568987981,0.0152996568987981,SH601916,浙商银行,2026-05-26,0.22991283,0.2314663
17,17,SH601298,0.0151730481798621,0.6666666666666666,0.008496165,0.00667688290428837,0.00667688290428837,SH601298,青岛港,2026-05-26,0.3578675,0.36272752
18,18,SH601006,0.0134954521537139,0.5333333333333333,-0.008046806,0.02154225801232596,0.02154225801232596,SH601006,大秦铁路,2026-05-26,1.1862284,1.1900737
19,19,SH600900,0.0111884283441738,0.4666666666666667,-0.00077450275,0.011962931098385227,0.011962931098385227,SH600900,长江电力,2026-05-26,10.252939,10.301038
20,20,SZ000333,0.0110378500022544,0.6666666666666666,-0.01349169,0.024529540161098394,0.024529540161098394,,,2026-05-26,1.4269319,1.4224838
21,21,SH601398,0.0100795432875918,0.6666666666666666,-0.011544824,0.02162436693413721,0.02162436693413721,SH601398,工商银行,2026-05-26,4.319542,4.335033
22,22,SH600011,0.0090941956030248,0.5333333333333333,0.045354247,-0.03626005149017589,0.03626005149017589,SH600011,华能国际,2026-05-26,1.1599101,1.2485722
23,23,SH600023,0.0064624993027171,0.4666666666666667,0.01666665,-0.010204151469377627,0.010204151469377627,SH600023,浙能电力,2026-05-26,0.30435842,0.3145037
24,24,SH600795,0.0032734372903618,0.5333333333333333,0.008064151,-0.0047907135198799,0.0047907135198799,SH600795,国电电力,2026-05-26,38.98724,40.323463
25,25,SZ002352,0.0028757478576062,0.5333333333333333,-0.013723791,0.016599538503205565,0.016599538503205565,,,2026-05-26,0.49993515,0.4981063
26,26,SH601878,0.0009763530414766,0.4666666666666667,-0.016221344,0.017197697512454382,0.017197697512454382,SH601878,浙商证券,2026-05-26,0.078388125,0.07849558
27,27,SH600887,0.0005020142558572,0.3333333333333333,-0.023291886,0.02379390010867092,0.02379390010867092,SH600887,伊利股份,2026-05-26,76.212845,76.38444
28,28,SH600941,0.0002456279884809,0.3333333333333333,0.0061784983,-0.005932870279646542,0.005932870279646542,SH600941,中国移动,2026-05-26,0.042702135,0.043041646
29,29,SH600570,5.127345180651063e-05,0.4666666666666667,-0.020136178,0.02018745099163195,0.02018745099163195,SH600570,恒生电子,2026-05-26,130.08932,130.55103
