,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ301236,0.1162473796093088,0.75,0.017426133,0.09882124645348604,0.09882124645348604,,,2026-04-16,0.05771957,0.06059137
1,1,SZ300274,0.1047042453246892,0.8125,0.018458128,0.08624611734922533,0.08624611734922533,,,2026-04-16,10.626441,10.909062
2,2,SZ300896,0.074679678514222,0.9375,0.0031497478,0.07152993066571126,0.07152993066571126,,,2026-04-16,0.007011212,0.0071129133
3,3,SZ000002,0.0596655220130674,0.9375,-0.0075740814,0.06723960343396584,0.06723960343396584,,,2026-04-16,17.0108,16.967897
4,4,SH600547,0.0593828990456183,0.625,-0.008324623,0.06770752215352846,0.06770752215352846,SH600547,山东黄金,2026-04-16,168.71585,171.78821
5,5,SH601825,0.0593762241248461,0.9375,0.0,0.0593762241248461,0.0593762241248461,SH601825,沪农商行,2026-04-16,0.14037555,0.1426793
6,6,SH603501,0.0554310878526574,0.8125,0.007966876,0.04746421182268914,0.04746421182268914,SH603501,豪威集团,2026-04-16,1.7236594,1.7505684
7,7,SZ300866,0.0533011621359982,0.4375,-0.002946496,0.05624765814582486,0.05624765814582486,,,2026-04-16,0.010926833,0.011158517
8,8,SH603993,0.0531002470042468,0.6875,0.00040256977,0.05269767723343381,0.05269767723343381,SH603993,洛阳钼业,2026-04-16,2.960832,3.021748
9,9,SZ300433,0.049599429041321,0.8125,0.046604514,0.0029949149193117253,0.0029949149193117253,,,2026-04-16,0.87295896,0.9341755
10,10,SH600219,0.0485099824035922,0.8125,-0.028326035,0.07683601694949063,0.07683601694949063,SH600219,南山铝业,2026-04-16,3.3257523,3.3142717
11,11,SH601328,0.0473781761510534,0.875,0.013213515,0.034164660869376154,0.034164660869376154,SH601328,交通银行,2026-04-16,0.28095543,0.28474724
12,12,SZ000630,0.0469044686013989,0.6875,0.0139786005,0.03292586809938474,0.03292586809938474,,,2026-04-16,23.973755,24.755825
13,13,SZ002493,0.0421604486172872,0.875,0.02233696,0.01982348877842001,0.01982348877842001,,,2026-04-16,0.7117456,0.7349967
14,14,SH601006,0.041788628362525,0.8125,-0.0021613836,0.04395001199137021,0.04395001199137021,SH601006,大秦铁路,2026-04-16,1.2043189,1.2059925
15,15,SH603893,0.0416776237315157,0.625,0.03769195,0.003985672933481031,0.003985672933481031,SH603893,瑞芯微,2026-04-16,0.9371326,0.97427905
16,16,SH600066,0.0403626553583209,0.875,-0.0016633272,0.04202598257542295,0.04202598257542295,SH600066,宇通客车,2026-04-16,264.51883,269.07016
17,17,SH601166,0.0401690794225907,0.75,-0.0021449327,0.04231401216947791,0.04231401216947791,SH601166,兴业银行,2026-04-16,1.2702574,1.2744735
18,18,SH600019,0.0397508811193685,0.75,-0.007881343,0.04763222448408408,0.04763222448408408,SH600019,宝钢股份,2026-04-16,1.9912473,1.9946296
19,19,SH600690,0.0395990058171392,0.8125,-0.0038414001,0.04344040596362358,0.04344040596362358,SH600690,海尔智家,2026-04-16,19.59671,19.681126
20,20,SZ002459,0.0390909940257198,0.5,0.0154310465,0.02365994753981892,0.02365994753981892,,,2026-04-16,0.060748544,0.062291354
21,21,SH601939,0.038974851985882,0.9375,0.03364563,0.005329222103069499,0.005329222103069499,SH601939,建设银行,2026-04-16,0.80332416,0.83347523
22,22,SH600893,0.0382604375855346,0.5625,0.004195094,0.03406534347695306,0.03406534347695306,SH600893,航发动力,2026-04-16,6.426486,6.557875
23,23,SH601169,0.0381164390952934,0.6875,0.0037451982,0.034371240845476506,0.034371240845476506,SH601169,北京银行,2026-04-16,0.25570378,0.25714743
24,24,SH688396,0.0376396388817127,0.4375,0.048707128,-0.011067488689393258,0.011067488689393258,SH688396,华润微,2026-04-16,0.028636202,0.030384973
25,25,SH600900,0.0373365667547593,0.75,0.01739657,0.019939997502745138,0.019939997502745138,SH600900,长江电力,2026-04-16,9.929376,10.1017065
26,26,SH600919,0.0358165044780877,0.8125,0.017108202,0.01870830249749688,0.01870830249749688,SH600919,江苏银行,2026-04-16,0.3718026,0.37834457
27,27,SH601398,0.0357911204706609,0.9375,0.017770648,0.01802047246803639,0.01802047246803639,SH601398,工商银行,2026-04-16,4.308273,4.3861156
28,28,SH600023,0.034253969125975,0.75,0.0181489,0.016105070047605863,0.016105070047605863,SH600023,浙能电力,2026-04-16,0.27950248,0.28508237
29,29,SH600741,0.0339229789044179,0.9375,-0.011747718,0.04567069676177874,0.04567069676177874,SH600741,华域汽车,2026-04-16,26.239485,26.200941
30,30,SH600489,0.0336966035609448,0.5625,0.0055577755,0.02813882806350828,0.02813882806350828,SH600489,中金黄金,2026-04-16,61.266373,62.949455
31,31,SH600660,0.0328735813616951,0.75,0.023303151,0.009570430231018834,0.009570430231018834,SH600660,福耀玻璃,2026-04-16,209.35172,217.11467
32,32,SH600918,0.0325371370512879,0.75,-0.004777074,0.037314210911456355,0.037314210911456355,SH600918,中泰证券,2026-04-16,0.16318186,0.16296493
33,33,SH600026,0.0320281097345998,0.5625,0.014918208,0.01710990161234638,0.01710990161234638,SH600026,中远海能,2026-04-16,3.9916332,4.0961704
34,34,SH688169,0.0319562580085225,0.625,0.08033323,-0.04837697487111617,0.04837697487111617,SH688169,石头科技,2026-04-16,0.0070887157,0.0077937837
35,35,SH688111,0.0318523939477915,0.4375,0.008477211,0.02337518294925634,0.02337518294925634,SH688111,金山办公,2026-04-16,0.015974721,0.016216524
