,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SZ300251,0.1044247316951513,0.5,-0.039783657,0.14420838829228877,0.14420838829228877,,,2026-05-12,1.9605567,1.972646
1,1,SZ002463,0.0919237257284469,0.8888888888888888,-0.04939413,0.141317856435234,0.141317856435234,,,2026-05-12,2.9173074,2.96598
2,2,SH600482,0.090089547682353,0.8333333333333334,-0.056779504,0.14686905150467966,0.14686905150467966,SH600482,中国动力,2026-05-12,8.990776,9.103682
3,3,SZ000977,0.0828239915308118,0.7777777777777778,-0.07470006,0.15752404903737308,0.15752404903737308,,,2026-05-12,3.8889353,3.9276023
4,4,SZ002916,0.0815876273956899,0.8333333333333334,-0.049190283,0.13077791021734517,0.13077791021734517,,,2026-05-12,2.5099707,2.5207312
5,5,SH600150,0.0803746465636475,0.7777777777777778,-0.03716123,0.11753587760460209,0.11753587760460209,SH600150,中国船舶,2026-05-12,9.387826,9.39353
6,6,SH601138,0.0744028089777341,0.6666666666666666,-0.031650066,0.10605287535346652,0.10605287535346652,SH601138,工业富联,2026-05-12,0.25547546,0.26685533
7,7,SZ300308,0.0609176049666231,0.5,0.027448654,0.033468950791818414,0.033468950791818414,,,2026-05-12,96.29665,99.93835
8,8,SH601916,0.0594342807427716,0.7777777777777778,-0.002409637,0.06184391771710632,0.06184391771710632,SH601916,浙商银行,2026-05-12,0.23241392,0.23362108
9,9,SZ000938,0.0577692937452751,0.7777777777777778,-0.023364663,0.08113395686935956,0.08113395686935956,,,2026-05-12,0.4520403,0.4737741
10,10,SH688223,0.0565190707226701,0.3333333333333333,-0.031725943,0.08824501381120159,0.08824501381120159,SH688223,晶科能源,2026-05-12,0.07330994,0.07539993
11,11,SH600048,0.0559802793561354,0.5,-0.029192865,0.08517314425100234,0.08517314425100234,SH600048,保利发展,2026-05-12,11.120934,11.257435
12,12,SZ002475,0.0523126792534706,0.6111111111111112,-0.059262812,0.11157549139107437,0.11157549139107437,,,2026-05-12,60.104557,59.50477
13,13,SH601995,0.0511943626513288,1.0,-0.014245808,0.06544017077587103,0.06544017077587103,SH601995,中金公司,2026-05-12,0.025927091,0.025978439
