,Unnamed: 0,instrument,avg_score,pos_ratio,real_label,error,abs_error,code,name,datetime,n1close,n2high
0,0,SH600522,0.135213468170548,0.875,-0.035324514,0.17053798208274892,0.17053798208274892,SH600522,中天科技,2026-05-25,22.364574,22.596691
1,1,SH600547,0.1149042414433775,0.5625,-0.049583435,0.16448767650197127,0.16448767650197127,SH600547,山东黄金,2026-05-25,138.07787,137.55214
2,2,SH600426,0.1083895645037082,0.8125,-0.008227348,0.11661691283134491,0.11661691283134491,SH600426,华鲁恒升,2026-05-25,48.50963,49.468445
3,3,SZ300433,0.088772095197094,0.6875,0.046809435,0.04196266030634693,0.04196266030634693,,,2026-05-25,1.2924696,1.3771956
4,4,SZ300347,0.0793779123057383,0.75,-0.028623104,0.10800101640119729,0.10800101640119729,,,2026-05-25,2.6950092,2.6950326
5,5,SH600460,0.0761387312799296,0.8125,0.04955876,0.026579972544272856,0.026579972544272856,SH600460,士兰微,2026-05-25,16.964407,18.655888
6,6,SH688506,0.068700842936688,0.625,-0.005442977,0.07414381988828712,0.07414381988828712,SH688506,百利天恒,2026-05-25,0.23072372,0.23331329
7,7,SZ300866,0.0599248378463211,0.75,0.027274728,0.032650110024971,0.032650110024971,,,2026-05-25,0.011551757,0.012104396
8,8,SH600150,0.058124421925028,0.5,-0.017326355,0.07545077690549676,0.07545077690549676,SH600150,中国船舶,2026-05-25,8.69532,8.987317
9,9,SZ000333,0.0538325347338677,0.9375,0.006039977,0.047792557660198264,0.047792557660198264,,,2026-05-25,1.4183565,1.4313893
10,10,SZ002709,0.0527528495766098,0.8125,0.02826786,0.024484989164012143,0.024484989164012143,,,2026-05-25,28.217152,29.942673
11,11,SH600219,0.0505593029798072,0.75,-0.05984783,0.11040713470588143,0.11040713470588143,SH600219,南山铝业,2026-05-25,3.1188543,3.1079469
12,12,SZ000807,0.0494215209985637,0.625,-0.058408797,0.10783031778582566,0.10783031778582566,,,2026-05-25,46.29942,45.931164
13,13,SZ002049,0.0490242660945217,0.75,0.025432467,0.023591798633889376,0.023591798633889376,,,2026-05-25,66.88,72.18461
14,14,SH600377,0.0486512100816507,0.9375,0.011223555,0.037427655470444646,0.037427655470444646,SH600377,宁沪高速,2026-05-25,3.0002594,3.034004
15,15,SH600919,0.0451525019470142,0.875,0.009199023,0.035953478700249064,0.035953478700249064,SH600919,江苏银行,2026-05-25,0.37902352,0.38428235
16,16,SH600018,0.0441802503250436,0.875,-0.008148968,0.05232921854480068,0.05232921854480068,SH600018,上港集团,2026-05-25,1.0112166,1.0146351
17,17,SH688981,0.0441153399894419,0.5625,-0.01984185,0.06395718979336645,0.06395718979336645,SH688981,中芯国际,2026-05-25,0.021696618,0.022327824
18,18,SZ300124,0.0439269355638259,0.5625,-0.034368157,0.07829509295060569,0.07829509295060569,,,2026-05-25,5.9406095,5.907603
19,19,SZ002648,0.0434819079824516,0.625,-0.0071134567,0.05059536470852582,0.05059536470852582,,,2026-05-25,3.175019,3.2015247
20,20,SZ300661,0.038989408201647,0.5625,0.023404956,0.015584452337694364,0.015584452337694364,,,2026-05-25,6.1228013,6.7059474
21,21,SZ001965,0.0386914471626805,0.875,-0.0073692203,0.04606066741948592,0.04606066741948592,,,2026-05-25,0.13808087,0.13848622
22,22,SZ002384,0.0380640116138408,0.4375,0.009813428,0.028250583688730936,0.028250583688730936,,,2026-05-25,2.6277692,2.7798464
23,23,SH601988,0.0375811591846636,0.75,-0.0098231435,0.04740430266687185,0.04740430266687185,SH601988,中国银行,2026-05-25,2.746706,2.7810874
24,24,SZ300759,0.0369232966164727,0.5625,-0.007566929,0.04449022547999809,0.04449022547999809,,,2026-05-25,1.1399995,1.1495664
25,25,SZ000617,0.036443719254296,0.5,-0.025264502,0.061708220825951274,0.061708220825951274,,,2026-05-25,4.572914,4.5894804
26,26,SZ300628,0.0362017768739686,0.5,-0.0015891194,0.037790896308325286,0.037790896308325286,,,2026-05-25,0.95462036,0.9591486
27,27,SZ002241,0.0356591343120555,0.875,0.035523057,0.00013607732810774764,0.00013607732810774764,,,2026-05-25,16.20937,17.206598
28,28,SZ300274,0.0355154156228088,0.375,0.028493166,0.007022249652960166,0.007022249652960166,,,2026-05-25,14.466287,15.494338
29,29,SH601995,0.0354789954297102,1.0,-0.009319425,0.04479842005892162,0.04479842005892162,SH601995,中金公司,2026-05-25,0.025645474,0.025838414
30,30,SH601006,0.0338221239435573,0.75,-0.016546786,0.05036890977500871,0.05036890977500871,SH601006,大秦铁路,2026-05-25,1.2054958,1.209173
31,31,SH688396,0.0329186762497529,0.625,0.024842858,0.00807581793523874,0.00807581793523874,SH688396,华润微,2026-05-25,0.037425883,0.03982021
32,32,SZ002466,0.0324148100260215,0.5,-0.028917313,0.06133212264809181,0.06133212264809181,,,2026-05-25,0.681057,0.6954143
